i,size,mu,method,random,remerge,relative,time,modularity,conductance,jaccard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10000,0.5,GN_modularity,TRUE,FALSE,TRUE,67.88598537,0.504026495,0.517410488,0.232508871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10000,0.5,GN_modularity,TRUE,FALSE,TRUE,63.77141047,0.503744164,0.515982931,0.261618876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10000,0.5,GN_modularity,TRUE,FALSE,TRUE,64.22602725,0.504355626,0.517529353,0.233391711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10000,0.5,GN_modularity,TRUE,FALSE,TRUE,65.07401991,0.5041718,0.517049394,0.245521272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10000,0.5,GN_modularity,TRUE,FALSE,TRUE,65.56016207,0.504429144,0.517213221,0.244014085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10000,0.5,GN_modularity,TRUE,FALSE,TRUE,60.71898627,0.504376778,0.516805388,0.244275167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10000,0.5,GN_modularity,TRUE,FALSE,TRUE,63.71256328,0.504188492,0.517213129,0.237647441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,10000,0.6,GN_modularity,TRUE,FALSE,TRUE,44.64210629,0.40608131,0.422330009,0.187540175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,0.6,GN_modularity,TRUE,FALSE,TRUE,45.0589416,0.40643709,0.422221973,0.192068233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10000,0.6,GN_modularity,TRUE,FALSE,TRUE,43.46047163,0.406116232,0.422206387,0.197451525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10000,0.6,GN_modularity,TRUE,FALSE,TRUE,45.33697939,0.405868695,0.422077807,0.196803494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10000,0.6,GN_modularity,TRUE,FALSE,TRUE,44.45142961,0.406184293,0.422341332,0.1885251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10000,0.6,GN_modularity,TRUE,FALSE,TRUE,45.42948437,0.405857122,0.421070343,0.198952719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10000,0.6,GN_modularity,TRUE,FALSE,TRUE,44.30486941,0.406251177,0.422088619,0.196434471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10000,0.6,GN_modularity,TRUE,FALSE,TRUE,45.11117911,0.40635477,0.422069846,0.193642818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10000,0.6,GN_modularity,TRUE,FALSE,TRUE,48.63597798,0.406303439,0.422738473,0.191788352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10000,0.6,GN_modularity,TRUE,FALSE,TRUE,44.69318128,0.405278173,0.421779081,0.190906054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1000,0.4,GN_modularity,TRUE,FALSE,TRUE,17.13630223,0.561995227,0.599219511,0.974604089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1000,0.4,GN_modularity,TRUE,FALSE,TRUE,17.1670661,0.562800518,0.6017979,0.941740771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1000,0.4,GN_modularity,TRUE,FALSE,TRUE,15.48386574,0.563694735,0.601783022,0.927912465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1000,0.4,GN_modularity,TRUE,FALSE,TRUE,16.34495926,0.564292085,0.599174157,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1000,0.4,GN_modularity,TRUE,FALSE,TRUE,15.12201524,0.562109222,0.598802431,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1000,0.4,GN_modularity,TRUE,FALSE,TRUE,19.29444695,0.561275568,0.600472937,0.974464711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1000,0.4,GN_modularity,TRUE,FALSE,TRUE,15.80714345,0.564143656,0.603499382,0.916903933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1000,0.4,GN_modularity,TRUE,FALSE,TRUE,14.87660384,0.565462211,0.601183512,0.94451146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1000,0.4,GN_modularity,TRUE,FALSE,TRUE,19.64552975,0.560565708,0.601137295,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1000,0.4,GN_modularity,TRUE,FALSE,TRUE,17.66774273,0.562048877,0.599947937,0.974108944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1000,0.5,GN_modularity,TRUE,FALSE,TRUE,13.51061463,0.462052161,0.50288775,0.914499626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1000,0.5,GN_modularity,TRUE,FALSE,TRUE,11.51095057,0.466110801,0.510680859,0.712067869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1000,0.5,GN_modularity,TRUE,FALSE,TRUE,15.52676344,0.461662318,0.505487762,0.855127559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1000,0.5,GN_modularity,TRUE,FALSE,TRUE,12.57293534,0.462521237,0.502435058,0.93240496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1000,0.5,GN_modularity,TRUE,FALSE,TRUE,12.96585917,0.464201936,0.502605965,0.946408634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1000,0.5,GN_modularity,TRUE,FALSE,TRUE,11.09658074,0.466772372,0.502515739,0.91307815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1000,0.5,GN_modularity,TRUE,FALSE,TRUE,12.69551015,0.462370402,0.505278049,0.863859649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1000,0.5,GN_modularity,TRUE,FALSE,TRUE,17.22398639,0.463092709,0.507680044,0.792652499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1000,0.5,GN_modularity,TRUE,FALSE,TRUE,14.44447494,0.462901194,0.505108929,0.802752704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1000,0.5,GN_modularity,TRUE,FALSE,TRUE,13.77005196,0.461548108,0.499007317,0.996294682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1000,0.6,GN_modularity,TRUE,FALSE,TRUE,12.77987099,0.367049099,0.418465707,0.577837661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1000,0.6,GN_modularity,TRUE,FALSE,TRUE,8.736209393,0.367550663,0.413523064,0.643237443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1000,0.6,GN_modularity,TRUE,FALSE,TRUE,16.0564754,0.355250749,0.403721589,0.62836773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1000,0.6,GN_modularity,TRUE,FALSE,TRUE,16.97017193,0.35769202,0.407781084,0.605032513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1000,0.6,GN_modularity,TRUE,FALSE,TRUE,9.484137535,0.364432007,0.407991968,0.730082149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1000,0.6,GN_modularity,TRUE,FALSE,TRUE,11.23383474,0.365222454,0.411392951,0.622423387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1000,0.6,GN_modularity,TRUE,FALSE,TRUE,10.07986832,0.354848294,0.410495131,0.466711873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1000,0.6,GN_modularity,TRUE,FALSE,TRUE,9.332902908,0.361243165,0.409064613,0.625253756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1000,0.6,GN_modularity,TRUE,FALSE,TRUE,10.78215432,0.364285607,0.413492602,0.634431933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1000,0.6,GN_modularity,TRUE,FALSE,TRUE,28.19652057,0.363682418,0.41709617,0.602131198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,10000,0.4,GN_modularity,TRUE,FALSE,TRUE,101.8394918,0.602660453,0.613194861,0.29668317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,0.4,GN_modularity,TRUE,FALSE,TRUE,91.01697159,0.601741107,0.612161541,0.298853436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10000,0.4,GN_modularity,TRUE,FALSE,TRUE,166.2327781,0.601986521,0.612147585,0.300550226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10000,0.4,GN_modularity,TRUE,FALSE,TRUE,105.0328271,0.602291471,0.612790577,0.300507975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10000,0.4,GN_modularity,TRUE,FALSE,TRUE,87.19587207,0.601641072,0.611914706,0.30536883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10000,0.4,GN_modularity,TRUE,FALSE,TRUE,87.34174299,0.601993202,0.613010167,0.281826865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10000,0.4,GN_modularity,TRUE,FALSE,TRUE,90.1205759,0.601842709,0.612081801,0.309037566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10000,0.4,GN_modularity,TRUE,FALSE,TRUE,84.67247939,0.602312088,0.612420626,0.301290084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10000,0.4,GN_modularity,TRUE,FALSE,TRUE,86.97781062,0.601903141,0.612517942,0.287507693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10000,0.4,GN_modularity,TRUE,FALSE,TRUE,87.07646585,0.601998336,0.612129203,0.310758449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,10000,0.5,GN_modularity,TRUE,FALSE,TRUE,64.1552279,0.503950978,0.516244701,0.252043707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,0.5,GN_modularity,TRUE,FALSE,TRUE,66.86861515,0.503696587,0.516676476,0.246162509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10000,0.5,GN_modularity,TRUE,FALSE,TRUE,64.66175461,0.504026021,0.516169714,0.262119514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10000,0.5,GN_modularity,TRUE,FALSE,TRUE,65.54591298,0.50384744,0.516282709,0.257980927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10000,0.5,GN_modularity,TRUE,FALSE,TRUE,65.00466394,0.503878078,0.516478929,0.253143123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10000,0.5,GN_modularity,TRUE,FALSE,TRUE,63.1275692,0.50443292,0.517959679,0.230325244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
